id,shortName,shortName_override,isLoop,longName_en,longName_en_override,longName_ka,longName_ka_override,longName_ru_override,dest0_en,dest0_en_override,dest0_ka,dest0_ka_override,dest0_ru_override,dest1_en,dest1_en_override,dest1_ka,dest1_ka_override,dest1_ru_override,invertDirection
1:R30691,383,,,M/S State University - Baratashvili St,,მ/ს სახელმწიფო უნივერსიტეტი - ბარათაშვილის ქ.,,,M/S State University,,მ/ს სახელმწიფო უნივერსიტეტი,,,Baratashvili St,,ბარათაშვილის ქ.,,,
1:R98379,384,,,Patara Dighomi - Station Square,,პატარა დიღომი - სადგურის მოედანი,,,Station Square 1,,სადგურის მოედანი 1,,,Little Dighomi,,პატარა დიღომი,,,
1:R29925,385,,true,Vake-Saburtalo,,ვაკე - საბურთალო,,,Vake - Saburtalo,,ვაკე-საბურთალო,,,Tandzia Street,,ტანძიის ქუჩა,,,
1:R98384,386,,,Mukhiani M/D-3 - Station Square,,მუხიანის III მ/რ - სადგურის მოედანი,,,Mukhiani III M/D,,მუხიანის III მ/რ,,,Station Square 1,,სადგურის მოედანი 1,,,
1:R30682,387,,true,Saburtalo-Vake,,საბურთალო-ვაკე,,,Saburtalo - Vake,,საბურთალო - ვაკე,,,Republican Hospital,,რესპუბლიკური საავადმყოფო,,,
1:R98394,388,,,Nutsubidze M/D II-IV - Baratashvili Street,,ნუცუბიძის II-IV მ/რ - ბარათაშვილის ქ.,,,Baratashvili St,,ბარათაშვილის ქ.,,,Nutsubidze M/D II-IV,,ნუცუბიძის II-IV მ/რ,,,
1:R98399,389,,,M/S Didube - M/S State University,,მ/ს დიდუბე - მ/ს სახელმწიფო უნივერსიტეტი,,,M/S Didube,,მ/ს დიდუბე,,,M/S State University,,მ/ს სახელმწიფო უნივერსიტეტი,,,
1:R98404,390,,,Okrokana - Baratashvili St,,ოქროყანა - ბარათაშვილის ქ.,,,Oqrokana,,ოქროყანა,,,Baratashvili St,,ბარათაშვილის ქ.,,,
1:R98409,391,,,M/S Avlabari - Gotua Street,,"მ/ს ""ავლაბარი"" -  გოთუას ქუჩა",,,M/S Avlabari,,მ/ს ავლაბარი,,,Gotua Str,,გოთუას ქ.,,,
1:R98417,392,,,Station Square 1 - Tbilisi State University H/B,,სადგურის მოედანი 1 - სახ. უნივერსიტეტის მ/კ,,,Station Square 1,,სადგურის მოედანი 1,,,State University H/B,,სახ.უნივერსიტეტის მ/კ,,,
1:R97730,393,,,Kvareli Street (Metromsheni) - Baratashvili St,,ყვარლის ქ. (მეტრომშენი) - ბარათაშვილის ქ.,,,Baratashvili St,,ბარათაშვილის ქ.,,,Kvareli Street (Metromsheni),,ყვარლის ქ. (მეტრომშენი),,,
1:R98422,394,,,"Zghvisubani M/D-3, Block-4 - M/S Didube (Upper Exit)",,"ზღვის უბნის III მ/რ, IV კვ - მ/ს დიდუბე (ზედა)",,,M/S Didube (Upper Exit),,მ/ს დიდუბე (ზედა),,,Sea District III M/D,,ზღვის უბნის III მ/რ.,,,
1:R98427,395,,,Mukhiani M/D-3 - Baratashvili St,,მუხიანის III მ/რ - ბარათაშვილის ქ.,,,Mukhiani III M/D,,მუხიანის III მ/რ,,,Baratashvili St,,ბარათაშვილის ქ.,,,
